[2019_01_12__18_43_54] :MAIN [INFO   ] Program started.
[2019_01_12__18_43_54] :GENG [INFO   ] Constructing default GEngine.
[2019_01_12__18_43_54] :GENG [INFO   ] Initialising new GEngine...
[2019_01_12__18_43_55] :GENG [INFO   ] GLFW Initialised.
[2019_01_12__18_43_55] :GENG [INFO   ] Created GLFW window.
[2019_01_12__18_43_55] :GENG [INFO   ] GLFW window context set.
[2019_01_12__18_43_55] :GENG [INFO   ] GLEW Initialised.
[2019_01_12__18_43_55] :GENG [INFO   ] GEngine initialisation started...
[2019_01_12__18_43_55] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_12__18_43_55] :GSPR [INFO   ] Creating new program...
[2019_01_12__18_43_55] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_12__18_43_55] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_12__18_43_55] :GSPR [INFO   ] Program linked succesfully.
[2019_01_12__18_43_55] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_12__18_43_55] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_12__18_43_55] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_12__18_43_55] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_12__18_43_55] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_12__18_43_55] :GMSH [INFO   ] Loading new Mesh...
[2019_01_12__18_43_55] :GMSH [INFO   ] Buffered into VAO
[2019_01_12__18_43_55] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_12__18_43_55] :GENG [INFO   ] Initialised content succesfully.
[2019_01_12__18_43_55] :GENG [INFO   ] Running GL loop...
[2019_01_12__18_43_55] :GENG [INFO   ] ==================
[2019_01_12__18_43_56] :GENG [INFO   ] FPS 58
[2019_01_12__18_43_57] :GENG [INFO   ] FPS 58
[2019_01_12__18_43_58] :GENG [INFO   ] FPS 58
[2019_01_12__18_43_59] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_00] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_01] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_02] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_03] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_04] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_04] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_05] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_06] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_07] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_08] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_09] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_10] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_11] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_12] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_13] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_14] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_15] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_16] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_17] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_18] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_19] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_20] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_21] :GENG [INFO   ] FPS 58
[2019_01_12__18_44_22] :GENG [INFO   ] ==================
[2019_01_12__18_44_22] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_12__18_44_22] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_12__18_44_22] :MAIN [INFO   ] Program exit.
